run_ts,dataset_rows,result_rows,lane,n,wins,strike_rate,frame_rate,pnl,roi,max_drawdown,longest_losing_run,status,freeze_flag,threshold_message
2026-04-28 15:42 UTC,713,607,V1_BASE,27,10,37.04,85.19,3.11,11.52,-8.52,6,WATCHLIST,False,→ SHADOW_CANDIDATE: needs +23 results
2026-04-28 15:42 UTC,713,607,V2_CLASS4_ONLY,17,7,41.18,82.35,5.13,30.18,-5.75,4,LANE_ACTIVE,False,→ WATCHLIST: needs +3 results
2026-04-28 15:42 UTC,713,607,V6_GOLD_SEAM,5,3,60.0,100.0,5.75,115.0,-1.0,1,LOW_SAMPLE,False,→ SHADOW_CANDIDATE: needs +15 results
2026-04-28 15:57 UTC,713,607,V1_BASE,27,10,37.04,85.19,3.11,11.52,-8.52,6,WATCHLIST,False,→ SHADOW_CANDIDATE: needs +23 results
2026-04-28 15:57 UTC,713,607,V2_CLASS4_ONLY,17,7,41.18,82.35,5.13,30.18,-5.75,4,LANE_ACTIVE,False,→ WATCHLIST: needs +3 results
2026-04-28 15:57 UTC,713,607,V6_GOLD_SEAM,5,3,60.0,100.0,5.75,115.0,-1.0,1,LOW_SAMPLE,False,→ SHADOW_CANDIDATE: needs +15 results
2026-04-28 16:17 UTC,713,607,V1_BASE,27,10,37.04,85.19,3.11,11.52,-8.52,6,WATCHLIST,False,→ SHADOW_CANDIDATE: needs +23 results
2026-04-28 16:17 UTC,713,607,V2_CLASS4_ONLY,17,7,41.18,82.35,5.13,30.18,-5.75,4,LANE_ACTIVE,False,→ WATCHLIST: needs +3 results
2026-04-28 16:17 UTC,713,607,V6_GOLD_SEAM,5,3,60.0,100.0,5.75,115.0,-1.0,1,LOW_SAMPLE,False,→ SHADOW_CANDIDATE: needs +15 results
2026-04-28 23:23 UTC,713,607,V1_BASE,27,10,37.04,85.19,3.11,11.52,-8.52,6,WATCHLIST,False,→ SHADOW_CANDIDATE: needs +23 results
2026-04-28 23:23 UTC,713,607,V2_CLASS4_ONLY,17,7,41.18,82.35,5.13,30.18,-5.75,4,LANE_ACTIVE,False,→ WATCHLIST: needs +3 results
2026-04-28 23:23 UTC,713,607,V6_GOLD_SEAM,5,3,60.0,100.0,5.75,115.0,-1.0,1,LOW_SAMPLE,False,→ SHADOW_CANDIDATE: needs +15 results
2026-04-29 22:21 UTC,713,607,V1_BASE,27,10,37.04,85.19,3.11,11.52,-8.52,6,WATCHLIST,False,→ SHADOW_CANDIDATE: needs +23 results
2026-04-29 22:21 UTC,713,607,V2_CLASS4_ONLY,17,7,41.18,82.35,5.13,30.18,-5.75,4,LANE_ACTIVE,False,→ WATCHLIST: needs +3 results
2026-04-29 22:21 UTC,713,607,V6_GOLD_SEAM,5,3,60.0,100.0,5.75,115.0,-1.0,1,LOW_SAMPLE,False,→ SHADOW_CANDIDATE: needs +15 results
2026-05-01 02:44 UTC,713,607,V1_BASE,27,10,37.04,85.19,3.11,11.52,-8.52,6,WATCHLIST,False,→ SHADOW_CANDIDATE: needs +23 results
2026-05-01 02:44 UTC,713,607,V2_CLASS4_ONLY,17,7,41.18,82.35,5.13,30.18,-5.75,4,LANE_ACTIVE,False,→ WATCHLIST: needs +3 results
2026-05-01 02:44 UTC,713,607,V6_GOLD_SEAM,5,3,60.0,100.0,5.75,115.0,-1.0,1,LOW_SAMPLE,False,→ SHADOW_CANDIDATE: needs +15 results
2026-05-02 22:08 UTC,768,607,V1_BASE,27,10,37.04,85.19,3.11,11.52,-8.52,6,WATCHLIST,False,→ SHADOW_CANDIDATE: needs +23 results
2026-05-02 22:08 UTC,768,607,V2_CLASS4_ONLY,17,7,41.18,82.35,5.13,30.18,-5.75,4,LANE_ACTIVE,False,→ WATCHLIST: needs +3 results
